FECHA,HORA,MINUTOS,N  ABEJAS/ VISITA,N POLINIZADORES / VISITA,TEMPERATURA,ESPECIE,,,
23/11/2020,7,36,0,1,18,MOSCA,,,
23/11/2020,7,36,0,1,18,MOSCA,,,
23/11/2020,7,37,0,1,18,MOSCA,,,
23/11/2020,7,37,0,1,19,MOSCA,,,
23/11/2020,7,38,0,1,19,MOSCA,,,
23/11/2020,7,38,0,1,19,MOSCA,,,
23/11/2020,7,39,0,1,19,MOSCA,,,
23/11/2020,7,39,0,1,19,MOSCA,,,
23/11/2020,7,40,0,1,19,MOSCA,,,
23/11/2020,7,40,0,1,19,MOSCA,,,
23/11/2020,7,41,0,1,19,MOSCA,,,
23/11/2020,7,41,0,1,19,MOSCA,,,
23/11/2020,7,42,0,1,19,MOSCA,,,
23/11/2020,7,42,0,1,19,MOSCA,,,
23/11/2020,7,43,0,1,19,MOSCA,,,
23/11/2020,7,44,0,1,19,MOSCA,,,
23/11/2020,7,50,0,1,19,MOSCA,,,
23/11/2020,18,32,0,1,37,MOSCA,,,
23/11/2020,18,33,0,1,37,MOSCA,,,
23/11/2020,19,36,0,1,29,MOSCA,,,
24/11/2020,7,3,0,1,18,MOSCA,,,
24/11/2020,9,54,0,1,23,MOSCA,,,
24/11/2020,10,52,0,1,27,MOSCA,,,
24/11/2020,12,31,0,2,32,MOSCA,,,
24/11/2020,12,32,0,1,32,MOSCA,,,
24/11/2020,12,32,0,1,32,MOSCA,,,
24/11/2020,12,44,0,1,32,MOSCA,,,
24/11/2020,14,53,0,1,34,MOSCA,,,
24/11/2020,16,30,0,1,38,MOSCA,,,
24/11/2020,18,26,0,1,36,MOSCA,,,
24/11/2020,18,38,0,1,37,MOSCA,,,
24/11/2020,18,38,0,1,37,MOSCA,,,
24/11/2020,18,44,0,1,37,MOSCA,,,
24/11/2020,19,17,0,1,35,MOSCA,,,
26/11/2020,8,19,0,1,35,MOSCA,se observa en umbela de atrás mosca por mas de 30 min, umbella principal fuera de foco,,
26/11/2020,9,51,0,1,23,MOSCA,,,
26/11/2020,17,16,0,1,34,MOSCA,,,
26/11/2020,18,16,0,1,32,MOSCA,,,
26/11/2020,18,17,0,1,32,MOSCA,,,
26/11/2020,18,17,0,1,32,MOSCA,,,
26/11/2020,18,43,0,1,33,MOSCA,,,
26/11/2020,19,34,0,1,29,MOSCA,,,
26/11/2020,19,34,0,1,29,MOSCA,,,
26/11/2020,19,35,0,1,29,MOSCA,,,
26/11/2020,19,35,0,1,29,MOSCA,,,
26/11/2020,19,36,0,1,29,MOSCA,,,
26/11/2020,19,36,0,1,29,MOSCA,,,
26/11/2020,19,37,0,1,29,MOSCA,,,
26/11/2020,19,38,0,1,38,MOSCA,CAMBIO TARJETA DE MEMORIA DÍA 27/11,,
9/12/2020,14,15,1,0,37,ABEJA,,,
9/12/2020,14,45,1,0,38,ABEJA,,,
10/12/2020,15,57,0,1,44,MOSQUITO,,,
10/12/2020,15,58,0,1,44,MOSQUITO,,,
10/12/2020,15,58,0,1,44,MOSQUITO,,,
10/12/2020,18,3,0,1,44,MOSCA,,,
10/12/2020,18,3,0,1,44,MOSCA,,,
10/12/2020,18,4,0,1,44,MOSCA,,,
10/12/2020,18,4,0,1,43,MOSCA,,,
10/12/2020,19,5,1,0,43,ABEJA,,,
10/12/2020,19,6,0,1,43,MOSCA,,,
10/12/2020,19,10,0,1,42,MOSCA,,,
10/12/2020,19,13,0,1,42,MOSCA,,,
10/12/2020,19,14,0,1,42,MOSCA,,,
10/12/2020,19,15,0,1,42,MOSCA,,,
10/12/2020,19,15,0,1,42,MOSCA,,,
10/12/2020,19,16,0,1,42,MOSCA,,,
10/12/2020,19,19,0,1,41,MOSCA,,,
10/12/2020,19,19,0,1,41,MOSCA,,,
10/12/2020,19,23,0,1,41,MOSCA,,,
10/12/2020,19,24,0,1,41,MOSCA,,,
10/12/2020,19,24,0,1,41,MOSCA,,,
10/12/2020,19,25,0,1,41,MOSCA,,,
10/12/2020,19,25,0,1,41,MOSCA,,,
10/12/2020,19,26,0,1,41,MOSCA,,,
10/12/2020,19,27,0,1,41,MOSCA,,,
10/12/2020,19,28,0,1,40,MOSCA,,,
10/12/2020,19,29,0,1,40,MOSCA,,,
10/12/2020,19,30,0,1,40,MOSCA,,,
10/12/2020,19,32,0,1,40,MOSCA,,,
10/12/2020,19,32,0,1,40,MOSCA,,,
10/12/2020,9,33,0,1,40,MOSCA,,,
10/12/2020,19,34,0,1,40,MOSCA,,,
10/12/2020,19,34,0,1,40,MOSCA,,,
10/12/2020,19,35,0,1,40,MOSCA,,,
10/12/2020,19,36,0,1,40,MOSCA,,,
10/12/2020,19,38,0,1,40,MOSCA,,,
10/12/2020,19,39,0,1,40,MOSCA,,,
10/12/2020,19,39,0,1,39,MOSCA,,,
10/12/2020,19,43,0,1,39,MOSCA,,,
11/12/2020,7,1,0,1,11,MOSCA,,,
11/12/2020,7,1,0,1,11,MOSCA,,,
11/12/2020,7,2,0,1,11,MOSCA,,,
11/12/2020,7,2,0,1,11,MOSCA,,,
11/12/2020,7,3,0,1,11,MOSCA,,,
11/12/2020,7,3,0,1,11,MOSCA,,,
11/12/2020,7,4,0,1,11,MOSCA,,,
11/12/2020,7,4,0,1,11,MOSCA,,,
11/12/2020,7,5,0,1,11,MOSCA,,,
11/12/2020,7,5,0,1,11,MOSCA,,,
11/12/2020,7,6,0,1,11,MOSCA,,,
11/12/2020,7,6,0,1,11,MOSCA,,,
11/12/2020,7,7,0,1,12,MOSCA,,,
11/12/2020,7,7,0,1,12,MOSCA,,,
11/12/2020,7,8,0,1,12,MOSCA,,,
11/12/2020,7,8,0,1,12,MOSCA,,,
11/12/2020,7,9,0,1,12,MOSCA,,,
11/12/2020,7,9,0,1,12,MOSCA,,,
11/12/2020,7,10,0,1,12,MOSCA,,,
11/12/2020,7,58,0,1,15,MOSCA,,,
11/12/2020,7,59,0,1,15,MOSCA,,,
11/12/2020,7,59,0,1,15,MOSCA,,,
11/12/2020,12,55,1,0,30,MOSCA,,,
11/12/2020,17,0,0,1,37,AVISPA,,,
11/12/2020,17,0,0,1,37,AVISPA,,,
11/12/2020,17,1,0,1,37,AVISPA,,,
11/12/2020,17,1,0,1,37,AVISPA,,,
11/12/2020,17,2,0,1,37,AVISPA,,,
11/12/2020,17,2,0,1,37,AVISPA,,,
11/12/2020,17,3,0,1,37,AVISPA,,,
11/12/2020,17,3,0,1,37,AVISPA,,,
11/12/2020,17,4,0,1,37,AVISPA,,,
11/12/2020,17,4,0,1,37,AVISPA,,,
11/12/2020,17,5,0,1,37,AVISPA,,,
11/12/2020,17,5,0,1,37,AVISPA,,,
11/12/2020,17,6,0,1,37,AVISPA,,,
11/12/2020,17,6,0,1,37,AVISPA,,,
11/12/2020,17,7,0,1,37,AVISPA,,,
11/12/2020,17,7,0,1,37,AVISPA,,,
11/12/2020,17,8,0,1,37,AVISPA,,,
11/12/2020,17,8,0,1,37,AVISPA,,,
11/12/2020,17,9,0,1,37,AVISPA,,,
11/12/2020,17,9,0,1,37,AVISPA,,,
11/12/2020,17,10,0,1,37,AVISPA,,,
11/12/2020,17,10,0,1,37,AVISPA,,,
11/12/2020,17,11,0,1,37,AVISPA,,,
11/12/2020,17,56,0,1,37,MOSCA,,,
11/12/2020,17,57,0,1,37,MOSCA,,,
11/12/2020,18,0,0,1,37,MOSCA,,,
11/12/2020,19,48,0,1,31,MOSCA,,,
12/12/2020,7,52,0,1,14,MOSCA,,,
12/12/2020,7,52,0,1,14,MOSCA,,,
12/12/2020,7,53,0,1,14,MOSCA,,,
12/12/2020,7,53,0,1,14,MOSCA,,,
12/12/2020,7,54,0,1,14,MOSCA,,,
12/12/2020,7,54,0,1,14,MOSCA,,,
12/12/2020,7,55,0,1,15,MOSCA,,,
12/12/2020,7,55,0,1,15,MOSCA,,,
12/12/2020,7,56,0,1,15,MOSCA,,,
12/12/2020,7,56,0,1,15,MOSCA,,,
12/12/2020,7,57,0,1,15,MOSCA,,,
12/12/2020,7,57,0,1,15,MOSCA,,,
12/12/2020,7,58,0,1,15,MOSCA,,,
12/12/2020,7,58,0,1,15,MOSCA,,,
12/12/2020,7,59,0,1,15,MOSCA,,,
12/12/2020,7,59,0,1,15,MOSCA,,,
12/12/2020,9,37,0,1,28,MOSCA,,,
12/12/2020,9,38,0,1,28,MOSCA,,,
12/12/2020,9,38,0,1,28,MOSCA,,,
12/12/2020,11,43,0,1,36,AVISPA,,,
12/12/2020,11,56,0,1,36,AVISPA,,,
12/12/2020,11,56,0,1,36,AVISPA,,,
12/12/2020,12,6,1,0,36,ABEJA,,,
12/12/2020,12,7,1,0,36,ABEJA,,,
12/12/2020,12,7,1,0,36,ABEJA,,,
12/12/2020,12,8,1,0,36,ABEJA,,,
12/12/2020,12,8,1,0,36,ABEJA,,,
12/12/2020,18,16,1,0,45,ABEJA,,,
12/12/2020,19,27,0,1,39,MOSCA,,,
12/12/2020,19,32,0,1,39,MOSCA,,,
12/12/2020,19,32,0,1,39,MOSCA,,,
12/12/2020,19,45,0,1,38,MOSCA,,,
12/12/2020,19,48,0,1,38,MOSCA,,,
12/12/2020,19,48,0,1,38,MOSCA,,,
12/12/2020,19,49,0,1,38,MOSCA,,,
13/12/2020,16,37,1,0,36,ABEJA,,,
13/12/2020,16,37,1,0,36,ABEJA,,,
13/12/2020,16,38,1,0,36,ABEJA,,,
13/12/2020,16,38,1,0,36,ABEJA,,,
13/12/2020,16,39,1,0,36,ABEJA,,,
13/12/2020,16,39,1,0,37,ABEJA,,,
13/12/2020,17,6,0,1,37,MOSCA,,,
13/12/2020,17,56,0,1,37,MOSCA,,,
13/12/2020,17,57,0,1,37,MOSCA,,,
13/12/2020,18,25,0,1,35,MOSCA,,,
13/12/2020,18,26,0,1,35,MOSCA,,,
13/12/2020,18,26,0,2,35,MOSCA,,,
13/12/2020,18,27,0,2,35,MOSCA,,,
13/12/2020,18,28,0,1,35,MOSCA,,,
13/12/2020,18,30,0,1,35,MOSCA,,,
13/12/2020,18,51,0,1,35,MOSCA,,,
13/12/2020,18,53,0,1,35,MOSCA,,,
13/12/2020,18,53,0,1,35,MOSCA,,,
13/12/2020,18,55,0,1,35,MOSCA,,,
13/12/2020,18,57,0,1,35,MOSCA,,,
13/12/2020,18,58,0,1,35,MOSCA,,,
13/12/2020,18,58,0,1,35,MOSCA,,,
13/12/2020,18,59,0,1,35,MOSCA,,,
13/12/2020,19,7,0,1,34,MOSCA,,,
14/12/2020,9,53,0,1,28,MOSCA,,,
